end_time,stagnant_time,provider,num_pickedup_LimeLime,num_pickedup_LimeBird,num_pickedup_BirdLime,num_pickedup_BirdBird
2019-06-14T20:33:38Z,27.7311111111111,Bird,0,0,280,185
2019-06-13T20:17:08Z,3.3,Bird,0,0,29,0
2019-06-13T19:55:37Z,2.85888888888889,Bird,0,0,27,0
2019-06-13T21:10:03Z,4.09694444444444,Lime,28,0,0,0
2019-06-13T19:24:12Z,2.11527777777778,Lime,19,0,0,0
2019-06-13T19:22:46Z,2.08222222222222,Lime,19,0,0,0
2019-06-13T18:22:40Z,0.908611111111111,Lime,9,0,0,0
2019-06-13T18:21:06Z,0.871388888888889,Lime,9,0,0,0
2019-06-13T19:06:14Z,1.47944444444444,Lime,16,0,0,0
2019-06-13T19:39:50Z,1.96638888888889,Lime,17,0,0,0
2019-06-13T18:49:13Z,0.971944444444444,Lime,7,0,0,0
2019-06-13T19:15:29Z,1.35666666666667,Lime,11,0,0,0
2019-06-13T20:44:01Z,2.80194444444444,Lime,18,0,0,0
2019-06-13T21:07:18Z,3.15583333333333,Lime,18,0,0,0
2019-06-13T19:28:27Z,1.335,Lime,11,0,0,0
2019-06-13T19:04:13Z,0.929444444444444,Lime,8,0,0,0
2019-06-13T19:16:00Z,0.98,Lime,9,0,0,0
2019-06-13T19:19:38Z,0.873055555555556,Lime,9,0,0,0
2019-06-13T19:57:20Z,1.47027777777778,Lime,12,0,0,0
2019-06-13T20:49:49Z,2.0425,Lime,12,0,0,0
2019-06-13T18:58:47Z,0.139722222222222,Lime,0,0,0,0
2019-06-13T21:01:59Z,2.03055555555556,Lime,10,0,0,0
2019-06-13T19:35:40Z,0.532222222222222,Lime,3,0,0,0
2019-06-14T11:26:58Z,16.3725,Lime,32,55,0,0
2019-06-13T20:01:24Z,0.883611111111111,Lime,7,0,0,0
2019-06-13T19:21:13Z,0.0655555555555556,Lime,0,0,0,0
2019-06-13T20:30:23Z,1.17888888888889,Lime,5,0,0,0
2019-06-13T23:22:36Z,3.50888888888889,Lime,1,0,0,0
2019-06-13T20:53:21Z,0.939444444444444,Lime,1,0,0,0
2019-06-13T20:40:24Z,0.693888888888889,Lime,0,0,0,0
2019-06-13T20:10:51Z,0.198333333333333,Lime,0,0,0,0
2019-06-13T23:14:05Z,2.38333333333333,Lime,0,0,0,0
2019-06-14T12:36:14Z,13.2888888888889,Bird,0,0,39,85
2019-06-14T00:50:22Z,1.43305555555556,Bird,0,0,0,0
2019-06-13T23:40:06Z,0.0316666666666667,Bird,0,0,0,0
